=== SIMULATION DE PERFORMANCE - TOWER DEFENSE ===
Date: 2025-11-28 18:01:04
Durée: 5 minutes
Format: Temps(min:sec:ms), Total Ennemis, FPS, UPS, Ennemis actifs, Tours actives, Projectiles actifs, Mémoire utilisée (MB)
================================================

00:01:021, 177, 137, 56, 177, 112, 3, 39
00:02:071, 407, 144, 57, 349, 112, 0, 81
00:03:118, 612, 144, 58, 519, 112, 7, 40
00:04:161, 962, 143, 57, 698, 112, 4, 47
00:05:211, 1267, 142, 57, 825, 112, 3, 36
00:06:261, 1537, 140, 57, 1049, 112, 9, 92
00:07:297, 1997, 141, 58, 1206, 112, 3, 77
00:08:350, 2332, 141, 58, 1241, 112, 10, 55
00:09:391, 2792, 138, 57, 1527, 112, 3, 50
00:10:530, 3257, 138, 58, 1675, 112, 5, 38
00:12:029, 3732, 60, 39, 1829, 112, 7, 69
00:13:217, 4212, 82, 47, 2136, 112, 4, 48
00:14:256, 4692, 115, 58, 2105, 112, 8, 44
00:15:300, 5172, 116, 57, 2072, 112, 4, 43
00:16:351, 5652, 118, 58, 2363, 112, 8, 48
00:17:400, 6132, 113, 58, 2278, 112, 5, 54
00:18:456, 6612, 115, 57, 2337, 112, 5, 64
00:19:499, 7092, 116, 58, 2462, 112, 10, 70
00:20:551, 7663, 115, 57, 2500, 112, 3, 77
00:21:589, 8185, 112, 57, 2655, 112, 7, 82
00:22:636, 8735, 115, 58, 2868, 112, 10, 31
00:23:679, 9376, 108, 57, 3022, 112, 7, 78
00:24:723, 9912, 112, 58, 3164, 112, 9, 85
00:25:764, 10497, 99, 58, 3304, 112, 6, 37
00:26:805, 11236, 92, 58, 3516, 112, 8, 46
00:27:847, 11912, 74, 58, 3661, 112, 7, 57
00:28:893, 12602, 62, 57, 3814, 112, 8, 35
00:29:945, 13376, 58, 57, 4009, 112, 11, 47
00:30:987, 14094, 57, 58, 4174, 112, 8, 57
00:32:030, 14861, 58, 58, 4264, 112, 9, 68
00:33:085, 15733, 57, 57, 4412, 112, 10, 41
00:34:195, 16549, 54, 54, 4649, 112, 11, 55
00:35:365, 17372, 54, 54, 4823, 112, 13, 75
00:36:617, 18244, 48, 48, 5067, 112, 9, 41
00:37:966, 19039, 48, 48, 5177, 112, 12, 33
00:39:338, 19939, 45, 45, 5246, 112, 9, 65
00:40:752, 20839, 43, 43, 5658, 112, 13, 43
00:42:305, 21739, 39, 39, 5757, 112, 13, 29
00:43:910, 22639, 39, 39, 5658, 112, 9, 33
00:45:570, 23539, 37, 37, 6041, 112, 17, 83
00:47:328, 24439, 35, 35, 6015, 112, 9, 80
00:49:094, 25339, 35, 35, 5905, 112, 12, 42
00:50:812, 26239, 35, 35, 6246, 112, 14, 40
00:52:619, 27139, 34, 34, 6237, 112, 10, 41
00:54:420, 28039, 34, 34, 6231, 112, 16, 62
00:56:289, 28939, 33, 33, 6482, 112, 14, 68
00:58:159, 29839, 32, 32, 6590, 112, 15, 37
01:00:022, 30739, 33, 33, 6615, 112, 14, 44
01:01:892, 31639, 32, 32, 6968, 112, 13, 54
01:03:920, 32539, 30, 30, 7257, 112, 10, 87
01:05:937, 33439, 30, 30, 7177, 112, 13, 50
